px_GeV,py_GeV,pz_GeV,p_mag_GeV,KE_GeV,E_GeV
0.0,0.0,0.19586373839691235,0.19586373839691235,0.10093444677555158,0.24050444677555158
0.0,0.0,0.3201824980505612,0.3201824980505612,0.20971014108720473,0.34928014108720473
0.0,0.0,0.14324272659617415,0.14324272659617415,0.06042565900965524,0.19999565900965524
0.0,0.0,0.3917038772374741,0.3917038772374741,0.2762565411717609,0.4158265411717609
0.0,0.0,0.17923124880040392,0.17923124880040392,0.08759431376110177,0.22716431376110177
0.0,0.0,0.2715103695386386,0.2715103695386386,0.1657129272445613,0.3052829272445613
0.0,0.0,0.2354293194033443,0.2354293194033443,0.13412097415647803,0.27369097415647803
0.0,0.0,0.3658307634352037,0.3658307634352037,0.2519806766378829,0.39155067663788296
0.0,0.0,0.2876796951203531,0.2876796951203531,0.18017895134236064,0.31974895134236064
0.0,0.0,0.17994839291921097,0.17994839291921097,0.08816056231917299,0.227730562319173
0.0,0.0,0.17093503929491888,0.17093503929491888,0.0811075307065843,0.2206775307065843
0.0,0.0,0.23176425299226636,0.23176425299226636,0.13097473542293012,0.2705447354229301
0.0,0.0,0.32140305168751465,0.32140305168751465,0.21082935293040603,0.350399352930406
0.0,0.0,0.2410330695423165,0.2410330695423165,0.13895598714122023,0.27852598714122023
0.0,0.0,0.1635013925481357,0.1635013925481357,0.07540090562487653,0.21497090562487653
0.0,0.0,0.22747169497017145,0.22747169497017145,0.12730666985445302,0.266876669854453
0.0,0.0,0.20819911356854148,0.20819911356854148,0.11108246017289844,0.25065246017289844
0.0,0.0,0.23438702160479175,0.23438702160479175,0.1332249061048705,0.2727949061048705
0.0,0.0,0.24436122480197286,0.24436122480197286,0.14184107491838396,0.28141107491838396
0.0,0.0,0.4691946394174702,0.4691946394174702,0.3499434263307697,0.48951342633076966
0.0,0.0,0.2537836144357401,0.2537836144357401,0.15006064039577785,0.28963064039577785
0.0,0.0,0.2013948597968294,0.2013948597968294,0.10545994603228515,0.24502994603228515
0.0,0.0,0.1784784073786762,0.1784784073786762,0.08700079864896251,0.2265707986489625
0.0,0.0,0.31498176093047503,0.31498176093047503,0.2049489321631874,0.3445189321631874
0.0,0.0,0.1928976703189865,0.1928976703189865,0.09852514088803324,0.23809514088803324
0.0,0.0,0.22223433920010405,0.22223433920010405,0.12285691633997245,0.26242691633997245
0.0,0.0,0.22722013239326422,0.22722013239326422,0.12709228354383476,0.26666228354383475
0.0,0.0,0.212139262806776,0.212139262806776,0.11436473910475972,0.2539347391047597
0.0,0.0,0.2480139433926561,0.2480139433926561,0.14501865229867408,0.2845886522986741
0.0,0.0,0.13305265978511255,0.13305265978511255,0.053258408632890275,0.19282840863289027
0.0,0.0,0.444751270783804,0.444751270783804,0.3265667586490134,0.4661367586490134
0.0,0.0,0.24227769233549498,0.24227769233549498,0.14003376446573954,0.27960376446573953
0.0,0.0,0.23827425340780872,0.23827425340780872,0.13657200103759778,0.2761420010375978
0.0,0.0,0.2363940500209341,0.2363940500209341,0.13495127747280336,0.27452127747280336
0.0,0.0,0.0786779751725272,0.0786779751725272,0.020648627747365284,0.16021862774736528
0.0,0.0,0.21712004654402678,0.21712004654402678,0.11854024681573641,0.2581102468157364
0.0,0.0,0.21449535478094886,0.21449535478094886,0.11633631512841788,0.2559063151284179
0.0,0.0,0.19551020193057594,0.19551020193057594,0.10064661882337486,0.24021661882337486
0.0,0.0,0.20525980858479223,0.20525980858479223,0.10864638527757497,0.24821638527757497
0.0,0.0,0.28818024544061716,0.28818024544061716,0.18062937345693594,0.32019937345693594
0.0,0.0,0.2041633996646337,0.2041633996646337,0.10774049040148084,0.24731049040148084
0.0,0.0,0.282339507737222,0.282339507737222,0.17538298463309862,0.3149529846330986
0.0,0.0,0.29562531898781763,0.29562531898781763,0.18734606587417654,0.32691606587417654
0.0,0.0,0.1898575904381399,0.1898575904381399,0.09606889650687231,0.2356388965068723
0.0,0.0,0.2176120733787728,0.2176120733787728,0.11895427232313874,0.25852427232313874
0.0,0.0,0.19116590424332183,0.19116590424332183,0.09712429195729858,0.23669429195729857
0.0,0.0,0.6348172674371607,0.6348172674371607,0.5104090365360899,0.6499790365360899
0.0,0.0,0.5196346390815615,0.5196346390815615,0.3984819891547886,0.5380519891547886
0.0,0.0,0.47123064187525693,0.47123064187525693,0.3518952609718887,0.4914652609718887
0.0,0.0,0.19159128006021167,0.19159128006021167,0.09746797901414547,0.23703797901414547
0.0,0.0,0.16933226877068686,0.16933226877068686,0.07986837892909282,0.21943837892909282
0.0,0.0,0.08426531654228514,0.08426531654228514,0.02346505289345452,0.16303505289345452
0.0,0.0,0.2904786863345,0.2904786863345,0.1826995333329182,0.3222695333329182
0.0,0.0,0.2505122011200305,0.2505122011200305,0.14719845679049606,0.28676845679049606
0.0,0.0,0.23136009027758833,0.23136009027758833,0.13062858673437547,0.27019858673437547
0.0,0.0,0.23565524386193767,0.23565524386193767,0.13431533889134942,0.2738853388913494
0.0,0.0,0.24755195729412005,0.24755195729412005,0.14461612995737463,0.28418612995737463
0.0,0.0,0.23126605471846148,0.23126605471846148,0.1305480722666338,0.2701180722666338
