delta_pdg,delta_px,delta_py,delta_pz,delta_E,delta_p,Enu,mu_E,wgt
2224,-0.45650493833185773,0.751464394568226,1.1235351699569645,1.885006836368343,1.4266838378405318,3.3794264793395996,2.389659543150212,1.0
2224,-0.08162042069868314,0.31313084531116164,0.45734703877298255,1.3534042756082636,0.560249170668488,1.5083043575286865,1.095701939998128,1.0
2224,-0.2401674909635294,-0.14686703840541965,0.7807088417886964,1.485456376448916,0.8299136378761007,1.2536122798919678,0.7441241504457696,1.0
2224,0.38793016874616504,-0.19539881680784515,0.8994201236646995,1.586017361912018,0.9988128314586058,1.0660823583602905,0.3651486017419603,1.0
2214,-0.33392992026266743,-0.1066476924995835,0.6501370165068601,1.4364487676887603,0.7386210545296947,0.8965820670127869,0.4095046973719867,1.0
2224,0.5579210538846602,0.5716335126969181,1.0366443666508949,1.797358149650487,1.3086910705414867,2.609452724456787,1.7562957048958194,1.0
2224,-0.008425952778735174,0.27510417642526175,1.088919750124432,1.6671303268724693,1.1231649597356155,1.1234140396118164,0.2846155251541606,1.0
2224,-0.19110793808356644,0.15458853966132283,0.4497145089284339,1.3343489049472461,0.512506585454192,1.258906364440918,0.8504237631813909,1.0
2224,-0.20740207607380673,0.42721334626431534,0.4015520117308319,1.3800706077991651,0.6219090628951768,1.1658520698547363,0.7658857545132126,1.0
2224,0.035700551690981436,0.10445235353305098,0.8745473159409106,1.5148735364277393,0.8814861492780728,0.8798528909683228,0.17110431887292785,1.0
2224,-0.10814580583662395,-0.11051784098571243,0.7491873268884023,1.450177699203234,0.764978012276422,1.5012341737747192,0.14985408895771185,1.0
2214,0.020797945735876316,-0.12424771374361125,1.0740127785182132,1.639267366032082,1.0813757429024193,1.3242285251617432,0.37676463928003345,1.0
2224,0.14146996144250146,-0.21458242863432753,0.8598334137951602,1.524203683287699,0.8974256894850895,0.9619008302688599,0.36876167209956334,1.0
2224,0.12948670227869646,-0.019813287185169448,0.9498566839655699,1.5611569724054537,0.958846751306048,0.9280281066894531,0.1962397299472495,1.0
2224,-0.23740618334865438,-0.2667314777931861,1.1321617148624628,1.7108832589449883,1.187138376828171,1.1614209413528442,0.37618445204572637,1.0
2224,-0.11298034281526365,-0.586180350358766,0.8277168044537082,1.5997846946962704,1.020532738026781,4.429297924041748,3.7541801928091427,1.0
2224,-0.38759640726487077,-0.36883489938718067,0.8749446747745926,1.603004161518929,1.0255722021618006,1.6832740306854248,0.9810791885528422,1.0
2224,0.24745200262049694,0.25217270038336886,0.4165040078919646,1.3476361352418553,0.5461676967833272,1.401100754737854,1.0025812049668685,1.0
2224,0.3677226413936481,0.24602967247687824,1.8470620727591118,2.2638932928382,1.8993127286884033,1.8756062984466553,0.5554478927092709,1.0
2224,-0.31058901403252115,-0.11027785857688106,0.7981200581495076,1.5044754464432344,0.8634942784700832,1.270399570465088,0.5118261486221105,1.0
2224,0.06192469256260674,0.19034883443920195,0.7773570292491361,1.470433710591667,0.8027149539184992,0.8946709632873535,0.36195405133881675,1.0
2224,-0.17647496045420102,0.036392300196108694,0.902398102078616,1.5377301927893474,0.9202120113408452,1.1361339092254639,0.48324148145558904,1.0
2214,-0.031073416786094918,0.05613354648193564,0.19355748798316808,1.2487613997180391,0.20391427960237668,0.9918246269226074,0.6884200978801195,1.0
2224,0.23692828086696083,0.2571192393520171,0.5321129813389052,1.3867997470539541,0.6367020798057058,1.311802625656128,0.8297003203980418,1.0
2224,-0.06823886710691876,-0.2207314419900251,0.5701999824749324,1.377073321389041,0.6152291707010037,0.8835265040397644,0.4189737655276884,1.0
2224,-0.03423218433200716,-0.3731231109482018,0.46786853461603695,1.370079437131863,0.5994110977047075,1.6353182792663574,1.2280699430817739,1.0
2224,-0.4526687494622953,0.07382305078849905,1.1884909454224126,1.772200205089295,1.2739189797308696,1.5493885278701782,0.6996908808005422,1.0
2224,0.12341786098188873,-0.029671102911170255,0.6107011088268058,1.380902671110314,0.6237533062674699,0.6240777373313904,0.16934449209720506,1.0
2224,0.25024160723498273,-0.139952678220903,1.1034296587306518,1.6785674326339093,1.140072202055288,1.0336072444915771,0.24345947958132488,1.0
2214,0.33803110412131043,0.14796245677552752,1.0189284267049314,1.6407915939313893,1.0836849425529123,0.9692568778991699,0.26964502629272363,1.0
2214,-0.041782760784562833,0.006046535735543854,0.8495112199469972,1.4970890663247183,0.8505596231358603,0.839651346206665,0.2288247913573747,1.0
2224,0.057612354426316646,0.24753468103449877,0.34314191256017146,1.3039029771623527,0.4270116788248852,0.9965382218360901,0.5313581547517874,1.0
2224,0.16027086124785536,-0.017909490117007428,0.7381847046721682,1.4452502056783514,0.7555952335829791,0.7969202995300293,0.29553744601978466,1.0
2224,0.1055452178942969,-0.06348701057022556,0.6371447861532503,1.3924610845742762,0.6489405766738351,0.6146566867828369,0.16459634658215141,1.0
2224,0.3508410983886616,0.009685815834304778,0.7385365282307303,1.4786627387196984,0.8176915646367149,1.0472630262374878,0.5209899468028357,1.0
